ID,Traditional,Simplified,Pinyin,Meaning
A00003,啊,啊,ā / á / ǎ / à,
A00001,阿,阿,ā / ē,
A00009,癌,癌,ái,
A00011,艾,艾,ài,
A00012,愛,爱,ài,
A00019,礙,碍,ài,
A00010,矮,矮,ǎi,
A00005,哀,哀,āi,
A00004,哎,哎,āi,
A00007,挨,挨,āi / ái,
A00008,唉,唉,āi / ài,
B00006,皚皚,皑皑,ái’ái,
B01464,呆板,呆板,áibǎn,
B00001,哀愁,哀愁,āichóu,
B00009,愛戴,爱戴,àidài,
A00006,哀悼,哀悼,āidào,
B00010,愛撫,爱抚,àifǔ,
E142,挨個兒,挨个儿,āigèr,
A00013,愛國,爱国,àiguó,
A00014,愛好,爱好,àihào,
A00015,愛護,爱护,àihù,
B00005,哀樂,哀乐,āilè,
A00016,愛慕,爱慕,àimù,
A00017,愛情,爱情,àiqíng,
B00002,哀求,哀求,āiqiú,
A00018,愛人,爱人,àiren,
Q001,愛人,爱人,àiren,
B00003,哀傷,哀伤,āishāng,
B00013,礙事,碍事,àishì,
B00011,愛惜,爱惜,àixī,
B00008,矮小,矮小,ǎixiǎo,
B00012,愛心,爱心,àixīn,
B00004,哀怨,哀怨,āiyuàn,
B00007,癌症,癌症,áizhèng,
A00034,岸,岸,àn,
A00035,按,按,àn,
F001,按,按,àn,
A00038,案,案,àn,
A00040,暗,暗,àn,
A00043,黯,黯,àn,
A00033,俺,俺,ǎn,
A00020,安,安,ān,
A00030,氨,氨,ān,
A00032,庵,庵,ān,
B00044,暗藏,暗藏,àncáng,
B00014,安插,安插,ānchā,
B00045,暗淡,暗淡,àndàn,
B00046,暗地,暗地,àndì,
A00021,安定,安定,āndìng,
B00015,安頓,安顿,āndùn,
B00047,暗訪,暗访,ànfǎng,
B00016,安放,安放,ānfàng,
B00017,安分,安分,ānfēn,
B00018,安撫,安抚,ānfǔ,
A00045,昂,昂,áng,
B00052,昂貴,昂贵,ángguì,
B00053,昂然,昂然,ángrán,
B00056,盎然,盎然,àngrán,
B00054,昂首,昂首,ángshǒu,
B00055,昂揚,昂扬,ángyáng,
A00044,骯髒,肮脏,āngzāng,
B00048,暗號,暗号,ànhào,
B00019,安家,安家,ānjiā,
A00039,案件,案件,ànjiàn,
A00022,安静,安静,ānjìng,
A00031,氨基酸,氨基酸,ānjīsuān,
B00020,安居,安居,ānjū,
B00021,安居樂業,安居乐业,ānjū-lèyè,
B00022,安康,安康,ānkāng,
B00023,安樂,安乐,ānlè,
B00040,案例,案例,ànlì,
B00024,安理會,安理会,ānlǐhuì,
B00035,按摩,按摩,ànmó,
B00036,按捺,按捺,ànnà,
B00025,安寧,安宁,ānníng,
A00036,按鈕,按钮,ànniǔ,
A00023,安排,安排,ānpái,
A00024,安培,安培,ānpéi,
B00037,按期,按期,ànqī,
B00041,案情,案情,ànqíng,
A00025,安全,安全,ānquán,
B00051,黯然,黯然,ànrán,
B00026,安然,安然,ānrán,
B00049,暗殺,暗杀,ànshā,
B00027,安生,安生,ānshēng,
B00038,按時,按时,ànshí,
A00041,暗示,暗示,ànshì,
B00039,按説,按说,ànshuō,
B00042,案頭,案头,àntóu,
B00028,安危,安危,ānwéi,
A00026,安慰,安慰,ānwèi,
B00029,安穩,安稳,ānwěn,
B00030,安息,安息,ānxī,
B00031,安閒,安闲,ānxián,
B00032,安詳,安详,ānxiáng,
A00027,安心,安心,ānxīn,
B00033,安逸,安逸,ānyì,
B00034,安葬,安葬,ānzàng,
A00037,按照,按照,ànzhào,
A00028,安置,安置,ānzhì,
A00042,暗中,暗中,ànzhōng,
F002,暗中,暗中,ànzhōng,
A00029,安裝,安装,ānzhuāng,
Q002,案子,案子,ànzi,
B00050,暗自,暗自,ànzì,
B00043,案子,案子,ànzǐ,
B00059,螯,螯,áo,
A00051,奧,奥,ào,
A00050,傲,傲,ào,
A00054,澳,澳,ào,
A00048,襖,袄,ǎo,
F003,襖,袄,ǎo,
A00046,凹,凹,āo,
A00047,熬,熬,āo / áo,
A00049,拗,拗,ào / niù,
A03646,老虎,老虎,ǎohǔ,
A00055,懊悔,懊悔,àohuǐ,
B00061,傲慢,傲慢,àomàn,
A00052,奧秘,奥秘,àomì,
B00063,奧妙,奥妙,àomiào,
A00056,懊惱,懊恼,àonǎo,
B00062,傲然,傲然,àorán,
A00057,懊喪,懊丧,àosàng,
B00057,凹陷,凹陷,āoxiàn,
B00060,翱翔,翱翔,áoxiáng,
B00058,遨游,遨游,áoyóu,
A00053,奧運會,奥运会,Àoyùnhuì,
A00002,阿姨,阿姨,āyí,
A00065,拔,拔,bá,
F004,拔,拔,bá,
A00070,壩,坝,bà,
A00071,爸,爸,bà,
A00074,罷,罢,bà,
A00076,霸,霸,bà,
A00067,把,把,bǎ,
A00069,靶,靶,bǎ,
A00058,八,八,bā,
A00059,巴,巴,bā,
A00063,疤,疤,bā,
A00064,捌,捌,bā,
A00073,耙,耙,bà / pá,
A00060,扒,扒,bā / pá,
B00079,把手,把手,bǎ•shǒu,
A00072,爸爸,爸爸,bàba,
F006,爸爸,爸爸,bàba,
Q007,爸爸,爸爸,bàba,
B00075,把柄,把柄,bǎbǐng,
B00083,靶場,靶场,bǎchǎng,
B00076,把持,把持,bǎchí,
B00071,拔除,拔除,báchú,
B00072,拔地而起,拔地而起,bádì’érqǐ,
A00075,罷工,罢工,bàgōng,
B00064,八股,八股,bāgǔ,
B00065,八卦,八卦,bāguà,
B00085,罷官,罢官,bàguān,
